id,Level,Color,PV,Black,Blue,Green,Red,White
card_1,3,Blue,4,0,3,0,0,6
card_2,3,Blue,3,5,0,3,3,3
card_3,3,Green,4,0,7,0,0,0
card_4,3,Green,5,0,7,3,0,0
card_5,3,Blue,5,0,3,0,0,7
card_6,3,Blue,4,0,0,0,0,7
card_7,3,White,3,3,3,3,5,0
card_8,3,White,5,7,0,0,0,0
card_9,3,Red,3,0,0,0,6,0
card_10,3,Black,3,6,0,0,0,0
card_11,3,White,3,0,0,0,0,6
card_12,3,Blue,3,0,6,0,0,0
card_13,3,Green,3,0,0,6,0,0
card_14,3,Green,3,0,0,6,0,0
card_15,3,White,4,7,0,0,0,0
card_16,3,White,4,6,0,0,3,3
card_17,3,Red,5,0,0,7,3,0
card_18,3,Red,4,0,0,7,0,0
card_19,3,Green,3,3,3,0,3,5
card_20,3,Green,4,0,6,3,0,3
